Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
2022216,"Green Wood Residency, Yapral",Green Wood Residency,"3rd party, Property Science",,17.50621978,78.54053743,,5246.0,,Commercial Spaces,500087.0,Yapral,832.0,,,no,4364672.0
2022217,"Green Wood Residency, Yapral",Green Wood Residency,"3rd party, Property Science",,17.50621978,78.54053743,,5246.0,,Commercial Spaces,500087.0,Yapral,832.0,,,no,4364672.0
2022218,"Kalyans Raja Rajeshwari Residency, Yapral",Kalyans Raja Rajeshwari Residency,"3rd party, Property Science",,17.502031,78.542009,,5305.0,,Stand Alone / Apartment,500094.0,Yapral,935.0,,,no,4960175.0
2022219,"Kalyans Raja Rajeshwari Residency, Yapral",Kalyans Raja Rajeshwari Residency,"3rd party, Property Science",,17.502031,78.542009,,5305.0,,Stand Alone / Apartment,500094.0,Yapral,980.0,,,no,5198900.0
2022224,"matrix majestics yapral, Yapral",matrix majestics yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4861.0,,Commercial Spaces,500087.0,Yapral,764.4,,,no,3715748.4
2022225,"matrix majestics yapral, Yapral",matrix majestics yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4861.0,,Commercial Spaces,500087.0,Yapral,754.0,,,no,3665194.0
2022226,"matrixx majestic apartments, Yapral",matrixx majestic apartments,"3rd party, Property Science",,17.50621978,78.54053743,,7526.0,,Commercial Spaces,500087.0,Yapral,905.0,,,no,6811030.0
2022227,"matrixx majestic apartments, Yapral",matrixx majestic apartments,"3rd party, Property Science",,17.50621978,78.54053743,,7526.0,,Commercial Spaces,500087.0,Yapral,884.0,,,no,6652984.0
2022230,"Modi Greenwoods, Yapral",Bhavani Heights,"3rd party, Property Science",,17.52101823,78.54305062,,3495.0,,Gated community / Apartment,500010.0,,,,,no,
2022231,"Modi Greenwoods, Yapral",Modi Greenwoods,"3rd party, Property Science",,17.52101823,78.54305062,,3495.0,,Gated community / Apartment,500010.0,,,,,no,
2022232,"Modi Greenwoods, Yapral",Modi Greenwoods,"3rd party, Property Science",,17.52101823,78.54305062,,3495.0,,Gated community / Apartment,500010.0,,,,,no,
2022233,"Modi Greenwoods, Yapral",Modi Greenwoods,"3rd party, Property Science",,17.52101823,78.54305062,,3495.0,,Gated community / Apartment,500010.0,,,,,no,
2022234,"Modi Greenwoods, Yapral",Modi Greenwoods,"3rd party, Property Science",,17.52101823,78.54305062,,3495.0,,Gated community / Apartment,500010.0,,,,,no,
2022235,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,3817.0,,Stand Alone / Apartment,500087.0,,,,,no,
2022236,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,3999.0,,Stand Alone / Apartment,500087.0,,,,,no,
2022237,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,4292.0,,Stand Alone / Apartment,500087.0,Yapral,1120.0,,,no,4807040.0
2022238,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,4043.0,,Stand Alone / Apartment,500087.0,Yapral,624.0,,,no,2522832.0
2022239,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,3999.0,,Stand Alone / Apartment,500087.0,,,,,no,
2022240,"MRs Arcade, Yapral",MRs Arcade,"3rd party, Property Science",,17.50621978,78.54053743,,4376.0,,Stand Alone / Apartment,500087.0,Yapral,1950.0,,,no,8533200.0
2022241,"MRs Arcades, Yapral",MRs Arcades,"3rd party, Property Science",,17.51976734,78.54475511,,3993.0,,Stand Alone / Apartment,500078.0,,,,,no,
2022242,"MRs Arcades, Yapral",MRs Arcades,"3rd party, Property Science",,17.51976734,78.54475511,,3993.0,,Stand Alone / Apartment,500078.0,,,,,no,
2022243,"MRs Arcades, Yapral",MRs Arcades,"3rd party, Property Science",,17.51976734,78.54475511,,3993.0,,Stand Alone / Apartment,500078.0,,,,,no,
2022244,"MRs Arcades, Yapral",MRs Arcades,"3rd party, Property Science",,17.51976734,78.54475511,,3993.0,,Stand Alone / Apartment,500078.0,,,,,no,
2022245,"Mythri The Town, Yapral",Mythri The Town,"3rd party, Property Science",,17.50621978,78.54053743,,7380.0,,Commercial Spaces,500087.0,Yapral,1000.0,,,no,7380000.0
2022246,"Mythris The Town, Yapral",Mythris The Town,"3rd party, Property Science",,17.49964601,78.54660441,,6992.0,,Stand Alone / Apartment,500094.0,Yapral,1694.0,,,no,11844448.0
2022247,"Mythris The Town, Yapral",Mythris The Town,"3rd party, Property Science",,17.50621978,78.54053743,,6992.0,,Stand Alone / Apartment,500094.0,Yapral,1108.25,,,no,7748884.0
